id,mass (g),reclat,reclong
16708,3416.0,-35.95,144.51667
16716,104000.0,-33.28333,148.88333
16724,116.8,-29.4,139.98333
16734,13200.0,-30.91667,151.28333
16735,14040.0,-30.01667,141.06667
16739,77000.0,-28.91667,136.25
16743,2426.0,-30.5,142.33333
16758,32383.0,-33.31667,144.78333
16760,8810.0,-31.1,138.26667
16761,304.0,-31.2,138.3
16771,734000.0,-29.45,119.71667
16772,11300.0,-32.33333,151.2
16773,326000.0,-22.5,116.16667
16774,22000.0,-24.76667,117.7
45812,3667.0,-25.87667,119.07333
16780,16600.0,-28.16667,118.5
16781,850.0,-28.83333,122.18333
16785,272000.0,-25.66667,118.1
16803,22900.0,-23.83333,134.03333
16821,513.0,-30.08333,130.03333
16822,98.0,-30.05,130.21667
16823,104.0,-30.1755,130.089
16824,48.0,-30.36667,130.08333
16825,1200.0,-30.3695,130.05533
16826,20.0,-30.36667,130.08333
16827,14.0,-30.36667,130.08333
16828,,-30.35,130.03333
16829,8.0,-30.36667,130.08333
16830,18.0,-30.36667,130.08333
16831,26.0,-30.36667,130.08333
16832,43.0,-30.35,130.03333
16833,73.0,-30.28583,129.957
16834,54.0,-30.06667,129.8475
16835,40.0,-30.06,130.025
16836,538.0,-30.21333,129.87333
16837,472.0,-30.21083,129.96833
16838,432.0,-30.34533,130.1
16839,37.7,-30.41667,129.85
45813,8200.0,-30.91667,118.2
16847,19900.0,-30.18333,126.36667
16848,894.0,-30.2,126.36667
16849,169.2,-30.18333,126.36667
16852,24000000.0,-30.78333,127.55
16853,251.0,-30.88333,127.55
16854,235.0,-30.85,127.53333
16855,9.2,-30.75833,127.525
16856,171.0,-30.475,127.51667
16857,24.6,-30.00833,127.70833
16858,30.6,-30.01667,127.60833
16859,57.1,-30.8,127.61667
16860,25.2,-30.8,127.61667
16861,26.6,-30.01667,127.7
16862,89.0,-30.33333,127.61667
16863,30.6,-30.93333,127.5
16864,9.16,-30.12633,127.41033
16865,1.8,-30.14267,127.39383
16866,26.69,-30.12633,127.41033
16867,4.41,-30.12167,127.38683
16868,40.59,-30.7845,127.69733
16869,24.0,-30.5,127.5
16870,50.0,-30.50583,127.43417
16871,60.0,-30.83333,127.5
54928,13.0,-30.77972,127.52306
16872,51300.0,-28.93333,148.95
16876,33.0,-26.66667,119.0
16878,1143000.0,-29.58333,139.9
16888,52.99,-30.45383,137.99017
16900,4.62,-31.96667,126.25
16910,3180.0,-29.53333,143.98333
16911,1694.0,-29.5,144.06667
16913,5500.0,-31.0,124.83333
16915,32200.0,-34.25,147.7
16918,27000.0,-28.6,141.15
16978,173.0,-31.08333,138.3
16979,786.0,-31.51667,117.96667
16987,20000.0,-29.86667,144.21667
16990,283.5,-37.31667,139.85
17002,38.6,-30.03333,129.01667
17003,608.9,-30.5,128.1
17004,964.0,-30.21667,126.21667
17006,308.7,-30.0,128.91667
17007,4400.0,-30.6,127.81667
17008,238.4,-30.76667,128.01667
17977,179.0,-39.06667,146.35
17939,120.0,-27.83333,123.86667
17940,102.0,-21.86667,120.11667
17941,40000.0,-31.0,132.0
17961,2.7,-30.66667,126.4
17962,170.5,-30.45,126.6
17963,40.0,-30.78333,126.45
17964,28.3,-30.78333,126.45
17965,24.8,-30.49117,126.4625
50990,45.5,-30.46,126.38333
50991,15.9,-30.46867,126.39133
50992,73.9,-30.49083,126.39067
50993,87.0,-30.89617,126.44817
17966,397.1,-29.78,126.45667
17967,1048.9,-29.62833,126.32167
17968,129.1,-29.73167,126.23833
17971,75.3,-31.58333,127.7
